Breed,Climate_Zone,Management_System,Age_Months,Weight_kg,Parity,Lactation_Stage,Days_in_Milk,Feed_Type,Feed_Quantity_kg,Feeding_Frequency,Water_Intake_L,Walking_Distance_km,Grazing_Duration_hrs,Rumination_Time_hrs,Resting_Hours,Ambient_Temperature_C,Humidity_percent,Season,Housing_Score,FMD_Vaccine,Brucellosis_Vaccine,HS_Vaccine,BQ_Vaccine,Anthrax_Vaccine,IBR_Vaccine,BVD_Vaccine,Rabies_Vaccine,Previous_Week_Avg_Yield,Body_Condition_Score,Milking_Interval_hrs,Milk_Yield_L
Boran,Mediterranean,Pastoral,38,472.3,3,Mid,342,Concentrates,10.4,3,20.0,4.73,7.1,4.5,11.0,2.7,72.5,Spring,0.7,1,0,1,0,1,1,1,1,4.39,3.5,12,5.94
Red_Sindhi,Temperate,Intensive,139,423.1,5,Early,246,Green_Fodder,7.5,1,69.3,3.26,8.5,8.7,11.5,44.4,10.0,Autumn,0.64,1,1,0,0,0,1,1,1,3.71,3.5,24,4.52
White_Fulani,Continental,Extensive,85,690.0,5,Mid,166,Green_Fodder,9.3,2,96.2,5.11,6.9,9.0,12.3,25.3,61.2,Spring,0.71,0,1,0,1,1,1,0,0,6.67,3.0,12,9.02
Norwegian_Red,Subtropical,Intensive,71,738.1,5,Late,205,Pasture_Grass,11.5,1,52.8,1.24,1.1,8.3,5.5,21.8,46.0,Monsoon,0.37,1,0,1,1,1,1,0,1,13.7,3.5,12,16.05
Krishna_Valley,Subtropical,Mixed,124,533.2,3,Mid,151,Silage,15.6,4,95.9,2.76,4.9,5.4,5.7,11.5,67.9,Autumn,0.62,1,0,0,0,0,1,0,1,7.59,3.5,12,8.08
Illawarra_Shorthorn,Tropical,Extensive,51,622.5,4,Late,23,Concentrates,12.3,1,83.0,3.28,2.7,6.5,6.1,24.0,64.4,Summer,0.41,1,1,1,1,1,0,1,0,9.06,3.0,24,8.38
Australian_Milking_Zebu,Continental,Intensive,86,289.2,1,Early,111,Concentrates,18.3,3,69.6,0.92,10.1,9.3,7.9,27.9,59.6,Summer,0.44,0,0,0,1,1,0,1,0,9.57,3.0,12,9.51
Gangatiri,Mediterranean,Semi_Intensive,59,735.2,6,Late,271,Hay,13.9,2,41.9,5.88,1.0,8.6,9.2,7.2,72.8,Spring,0.45,1,0,0,1,1,1,0,1,3.19,2.5,12,3.02
Rathi,Subtropical,Mixed,77,518.9,3,Late,348,Silage,11.6,1,61.5,5.83,5.0,6.5,14.5,18.2,49.4,Autumn,0.51,0,1,1,1,1,0,0,1,0.0,2.0,6,1.55
Illawarra_Shorthorn,Tropical,Intensive,79,636.8,4,Early,108,Silage,4.3,4,105.3,3.07,12.2,8.7,14.5,24.6,81.6,Autumn,0.89,0,1,1,0,0,1,1,0,10.83,3.5,12,9.7
Kenana,Tropical,Extensive,138,721.6,1,Late,242,Concentrates,10.3,4,50.7,2.22,5.9,7.4,9.9,29.6,79.2,Monsoon,0.65,0,1,0,1,1,1,1,0,11.15,4.5,24,7.35
Butana,Mediterranean,Mixed,40,726.9,2,Mid,77,Crop_Residues,9.3,5,30.5,0.5,6.9,6.6,12.7,41.9,42.0,Spring,0.67,1,1,0,1,0,1,1,1,10.4,3.0,12,9.07
Red_Poll_Africa,Mediterranean,Pastoral,140,341.8,2,Late,290,Dry_Fodder,8.4,2,29.2,1.87,4.3,4.3,12.3,35.1,25.7,Monsoon,0.75,1,0,1,0,1,0,1,0,3.17,3.5,12,0.45
Normande,Subtropical,Mixed,102,676.2,3,Mid,269,Dry_Fodder,14.1,1,86.1,4.62,4.0,12.6,10.9,19.1,79.3,Winter,0.31,1,1,1,0,0,0,1,1,11.88,3.0,12,11.31
White_Fulani,Subtropical,Pastoral,103,479.6,1,Early,308,Crop_Residues,11.0,3,36.3,3.27,4.1,7.8,8.8,16.1,60.8,Summer,0.33,0,1,0,0,1,0,0,0,2.72,2.5,12,1.19
Montbeliarde,Arid,Mixed,127,643.9,1,Mid,66,Green_Fodder,8.7,3,47.6,5.78,11.8,8.8,8.3,35.2,10.0,Monsoon,0.56,1,0,1,1,1,0,1,1,9.97,3.5,12,8.56
Ayrshire,Subtropical,Pastoral,117,581.1,6,Mid,321,Green_Fodder,11.1,1,42.9,2.23,6.7,10.5,10.6,37.7,100.0,Summer,0.31,0,1,0,1,1,0,1,1,12.34,3.0,12,11.01
